2026-08-04 19:16:59,168 | INFO     | [main.py:90] | [main] | ✅ تم إيقاف المداولات واللوجستيات الخلفية بأمان تام.
2026-08-04 19:19:30,644 | INFO     | [main.py:53] | [main] | 🚀 [AymnGuard Core v5.0] إدراج نواة الأمان والتشغيل المؤسسي قيد البدء...
2026-08-04 19:19:30,649 | INFO     | [database.py:50] | [database] | ⚙️ بدء عملية المزامنة وهندسة الجداول داخل قاعدة البيانات...
2026-08-04 19:19:30,649 | INFO     | [database.py:52] | [database] | ✅ تمت تهيئة كافة الجداول والهياكل بنجاح مؤسسي.
2026-08-04 19:19:30,650 | INFO     | [main.py:59] | [main] | ✅ تم إنجاز تهيئة قواعد البيانات ومواعيد الاتصال بنجاح.
2026-08-04 19:19:30,650 | INFO     | [base.py:507] | [base] | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-08-04 19:19:30,650 | INFO     | [scheduler.py:44] | [scheduler] | ⚙️ تم إعداد وتهيئة جدول المهام الخلفية المؤسسية (UTC) بنجاح تام وخلو كامل من التحذيرات.
2026-08-04 19:19:30,650 | INFO     | [base.py:1092] | [base] | Added job "AymnGuard Enterprise Health Audit (UTC)" to job store "default"
2026-08-04 19:19:30,650 | INFO     | [base.py:214] | [base] | Scheduler started
2026-08-04 19:19:30,651 | INFO     | [scheduler.py:54] | [scheduler] | ▶️ تم إقلاع وتشغيل محرك الجدولة والمهام الخلفية بنجاح مؤسسي مطلق.
2026-08-04 19:19:30,651 | INFO     | [main.py:68] | [main] | ✅ قنوات المتابعة والجدولة الزمنية قيد التشغيل التام.
2026-08-04 19:19:30,651 | WARNING  | [main.py:82] | [main] | ℹ️ يعمل بوت تليجرام في وضع الاستماع المحلي أو اليدوي.
2026-08-04 19:29:30,675 | INFO     | [base.py:129] | [base] | Running job "AymnGuard Enterprise Health Audit (UTC) (trigger: interval[0:10:00], next run at: 2026-08-04 16:39:30 UTC)" (scheduled at 2026-08-04 16:29:30.650223+00:00)
2026-08-04 19:29:30,682 | INFO     | [scheduler.py:18] | [scheduler] | 🛡️ [Enterprise Telemetry] فحص سلامة النظام الخلفي الدوري نشط في: 2026-08-04 16:29:30 UTC
2026-08-04 19:29:30,682 | INFO     | [base.py:156] | [base] | Job "AymnGuard Enterprise Health Audit (UTC) (trigger: interval[0:10:00], next run at: 2026-08-04 16:39:30 UTC)" executed successfully
2026-08-04 19:32:52,663 | WARNING  | [main.py:87] | [main] | 🛑 [AymnGuard Core] إيقاف تشغيل النظام وأمان الأرجوحة اللوجستية قيد التنفيذ...
2026-08-04 19:32:52,669 | INFO     | [base.py:245] | [base] | Scheduler has been shut down
2026-08-04 19:32:52,673 | INFO     | [scheduler.py:66] | [scheduler] | 🛑 تم إيقاف الجدول الزمني والمهام الخلفية بأمان تام وحفظ استقرار الموارد.
2026-08-04 19:32:52,673 | INFO     | [main.py:90] | [main] | ✅ تم إيقاف المداولات واللوجستيات الخلفية بأمان تام.
